Station ID,Station Name,Lat,Long,Site Name,Zone,State,City,,,,,,,,,,,
CS13344904,Pavillion 79_Wakad_Chinchwad_Pune_MH,18.6010,73.7405,Pavillion 79,West,Maharshtra,Pune,,,,,,,,,,,
CS17841012,6219_Anudh_Smart_Pune,12.9705,77.6447,6219,West,Maharshtra,Pune,,,,,,,,,,,
CS47261847,TNA8_Shahibag_Ahmedabad_GJ,12.9705,77.6447,TNA8,West,Gujarat,Ahmedabad,,,,,,,,,,,
CS57301833,Crown interiorz Mall_Subhash nagar_FBD_HR,28.4700,77.3070,Crown interiorz Mall,North,Delhi UT,Delhi NCR,,,,,,,,,,,
CS63021498,Signature street_Govindpuram_GZB_UP,28.6885,77.4884,Signature street,North,Delhi UT,Delhi NCR,,,,,,,,,,,
CS66935572,Greater_Hyderabad_Municipal_Corporation_Telangana,17.3051,78.4743,Greater Hyderabad Municipal Corporation,South,Telangana,Hyderabad,,,,,,,,,,,
CS28977929,CWC Warehousing_RP Bagh_DEL,28.6859,77.1933,CWC Warehousing,North,Delhi UT,Delhi NCR,,,,,,,,,,,
CS39801816,Elpro_Chinchwad_Pune_MH,18.6288,73.7842,Elpro,West,Maharshtra,Pune,,,,,,,,,,,
CS20615004,TXNV_CWC_Mohaan_Rd_New_Bawli_Police_Chowki_Lucknow,26.8411,80.8545,"TXNV, CWC Mohaan Rd",North,Uttar Pradesh,Lucknow,,,,,,,,,,,
CS63263500,TNB9_Reliance_Market_Pallavaram_Chennai,12.9705,77.6447,"TNB9, Reliance Market",South,Tamil Nadu,Chennai,,,,,,,,,,,
CS79566964,TV13_Shamshabad_Smart_Telangana,17.2629,78.3859,TV13,South,Telangana,Hyderabad,,,,,,,,,,,
CS94413912,Matunga_West_Mumbai,19.0282,72.8438,Matunga,West,Maharshtra,Mumbai,,,,,,,,,,,
CS32859101,TXNW_Sitapur_Nai_Mandi_Complex_Lucknow_UP,27.5680,80.6790,"TXNW, Sitapur",North,Uttar Pradesh,Lucknow,,,,,,,,,,,
CS19481278,6728_Nacharam_Hyderabad_Smart_Telangana,17.4305,78.5532,6728,South,Telangana,Hyderabad,,,,,,,,,,,
CS33470542,TXWU_FST_Changodar_Ahmedabad_GJ,23.0049,72.5544,"TXWU, FST",West,Gujarat,Ahmedabad,,,,,,,,,,,
CS28848111,Aishwaryam Mall_Chinchwad_Pune_MH,23.0303,72.5075,Aishwaryam Mall,West,Maharshtra,Pune,,,,,,,,,,,
CS91531987,TNK8_Meri_Chai_Store_3312_Kolkata_WB,28.4700,77.3070,TNK8,East,West Bengal,Kolkata,,,,,,,,,,,
CS46805510,TP08_Shiva_Gourds_Peerzadiguda_Hyd_Telangana,12.9705,77.6447,"TP08, Shiva Gourds",South,Telangana,Hyderabad,,,,,,,,,,,
CS53249120,TXPO_Smart_Net_Ambattur_Chennai_TN,17.3940,78.5948,TXPO,South,Tamil Nadu,Chennai,,,,,,,,,,,
CS12044362,Iscon Smart_Iscon Mega Mall_AMD_GUJ,12.9705,77.6447,Iscon Smart,West,Gujarat,Ahmedabad,,,,,,,,,,,
CS25811083,TNJ5_Sakinaka_Mumbai_MH,19.0962,72.8877,TNJ5,West,Maharshtra,Mumbai,,,,,,,,,,,
CS24783218,TXBR_New_Era_Matunga_Mumbai_MH,18.5187,73.9362,"TXBR, New Era",West,Maharshtra,Mumbai,,,,,,,,,,,
CS68049471,6208_Almonte_Kharadi_Bypas_Smart_Pune,12.9705,77.6447,"6208, Almonte",West,Maharshtra,Pune,,,,,,,,,,,
CS12997992,6209_Fatimanagar_Pune,26.6675,76.1798,6209,West,Maharshtra,Pune,,,,,,,,,,,
CS17892077,TXCI_SitapuraII_Jaipur_RAJASTHAN,12.9705,77.6447,"TXCI, SitapuraII",Central,Rajasthan,Jaipur,,,,,,,,,,,
CS82942206,Jaipuriya Mall_Indirapuram_GZB_UP,23.0303,72.5075,Jaipuriya Mall,North,Delhi UT,Delhi NCR,,,,,,,,,,,
CS68912975,TMW7_Kalwa_Mumbai_MH,12.9705,77.6447,TMW7,West,Maharshtra,Mumbai,,,,,,,,,,,
CS38250510,TS34_Atithi_Function_Hall_Bandlaguda_Smart_Hyd,17.3588,78.3866,"TS34, Atithi Function Hall",South,Telangana,Hyderabad,,,,,,,,,,,
CS82027760,Khadi Machine chowk_Kondhwa_Pune_MH,18.4525,73.8907,Khadi Machine chowk,West,Maharshtra,Pune,,,,,,,,,,,
CS48448130,Alwal_Circle_Malkajgiri_Mandal_Alwal_Telangana,26.8411,80.8545,Alwal Circle,South,Telangana,Hyderabad,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
